Quel âge avez-vous?;Quels outils utilisez-vous pour le wireframing?;Dans quel pays vivez-vous?;Quels outils utilisez-vous pour le design d'interface?;Quel métier pratiquez-vous dans le domaine du web ?;Quels outils utilisez-vous pour le prototypage?;Quels outils utilisez-vous pour le brainstorming?;Combien d'années d'expérience avez-vous?;Combien de designers travaillent dans votre organisation?;Quels outils utilisez-vous pour communiquer dans votre équipe?;Dans quel genre d'organisation travaillez-vous?;Quels CMS ou Frameworks de code utilisez-vous?;Quels outils utilisez-vous pour l'édition du code?;Quels outils utilisez-vous pour gérer des systèmes de design?;Quels outils utilisez-vous pour la gestion de versions et de fichiers?
30 à 39;Illustrator, Papier, Adobe XD;Suisse;Illustrator, Photoshop;graphiste web;HTML / CSS;Papier, Illustrator, Photoshop;5 à 10;2 à 5;Telegram;Agence web;WordPress, Sylma;Notepad++;;Dropbox, Github
30 à 39;Papier, Illustrator;Suisse;Photoshop;concepteur web, intégrateur web, webdesigner, UI designer, Front-end designer;HTML / CSS;Illustrator, Photoshop, Papier;10 à 15;2 à 5;Slack, Telegram, Skype;Freelance, Agence web;WordPress, Framework CSS maison;Coda; ;Dropbox, Github
30 à 39;Papier, Balsamiq, HTML / CSS, Sketch;Suisse;HTML / CSS, Photoshop, Sketch;Directeur;Sketch, HTML / CSS, InVision;Papier, Illustrator, Photoshop, Sketch, InVision;10 à 15;2 à 5;Slack;Agence web;Bootstrap, Symfony, Ruby on Rails;Sublime Text;Zeplin, Craft, Sketch Libraries;Google Drive
30 à 39;Balsamiq;Suisse;InDesign;directeur artistique web;InVision;InDesign;10 à 15;Seulement moi;Basecamp;Freelance;WordPress;Atom;Craft;Dropbox
20 à 29;Papier;France;Photoshop, Sketch;webdesigner, directeur artistique web, UX designer, UI designer;Sketch;Papier, Photoshop, Sketch;5 à 10;Seulement moi;Slack;Studio digital; ;Coda;Zeplin;
30 à 39;Papier, Adobe XD, Axure;France;Photoshop, Affinity Designer;UI designer, ergonome web, graphiste web, webdesigner, directeur artistique web, UX designer;Adobe XD, Axure;Papier;10 à 15;2 à 5;Discord;Agence de communication;Drupal, Symfony, WordPress, Laravel;;;Github, Google Drive
40 à 49;Adobe XD, Sketch;Suisse;Adobe XD, Sketch;interactive media designer, concepteur web, chef de projet, architecte d’information, intégrateur web, webdesigner, concepteur multimédia;Sketch, Adobe XD;Papier;20 à 30;2 à 5;Basecamp;Petite agence;Bootstrap, WordPress;Dreamweaver, Sublime Text;Sketch Libraries;Google Drive
40 à 49;Papier, HTML / CSS, Illustrator, Sketch;Suisse;HTML / CSS, Illustrator, Sketch;directeur artistique web, UI designer, graphiste web, webdesigner;HTML / CSS, InVision;Papier;15 à 20;2 à 5;Basecamp, Slack, Asana;Agence web;Bootstrap, Drupal, WordPress, Hugo, Forestry;Atom, Sublime Text, Visual Studio Code;Craft, Toolbox (un outil maison);Github
40 à 49;Papier;Suisse;InDesign;artiste;HTML / CSS;Papier;15 à 20;Seulement moi;Slack, google drive;Freelance, école;Joomla;Dreamweaver; ;harddisc
40 à 49;Papier, Adobe XD;Suisse;Adobe XD;chef de projet, responsable e-commerce/m-commerce, concepteur web;Adobe XD, HTML / CSS;Papier, mindmapping;15 à 20;2 à 5;Slack;Freelance, Agence web ;WordPress;Atom, Coda;Adobe Library;Github, Bitbucket
40 à 49;Sketch;France;Sketch;concepteur web;InVision;Papier, Sketch;5 à 10;6 à 10;Slack;Prestataire en entreprise  ;Symfony;Visual Studio Code;Sketch Libraries;Google Drive
40 à 49;Adobe XD;France;Photoshop;développeur web;HTML / CSS;Photoshop;10 à 15;100+;Slack;Multinationale;WordPress;Visual Studio Code;;Google Drive
40 à 49;Papier, Balsamiq;France;HTML / CSS;webmaster, concepteur web, développeur web, intégrateur web, webdesigner;HTML / CSS;Papier;20 à 30;Seulement moi;Basecamp, E-mail;Freelance;WordPress, Kirby, Tachyon;Sublime Text;;Bitbucket
30 à 39;Adobe XD;France;Adobe XD;développeur web, intégrateur web;Adobe XD;Papier;5 à 10;2 à 5;Mattermost,  Pidgin;Agence web;WordPress;Visual Studio Code;Zeplin;Git, Gitlab
30 à 39;Papier, Sketch, Paper by 53 (iPad);Suisse;Sketch;UX designer, UI designer, architecte d’information, ergonome web, graphiste web, webdesigner, directeur artistique web;InVision, Sketch;Papier, Post-its;5 à 10;Seulement moi;Basecamp, Trello;Freelance;WordPress, Squarespace;Coda, Sublime Text;Sketch Libraries;Dropbox
20 à 29;Papier, Sketch;France;Sketch;Product designer;InVision;Papier;1 à 5;2 à 5;Slack;Startup;;Sublime Text, Visual Studio Code;Sketch Libraries;Dropbox
20 à 29;Papier, Balsamiq;France;Photoshop;chef de projet, développeur web, webmaster;;Papier;1 à 5;Seulement moi;Slack;Freelance;Bootstrap, WordPress;Atom;;Git
30 à 39;Figma, HTML / CSS, Sketch;France;Sketch, Figma, HTML / CSS;développeur web, UX designer, chef de projet, veilleur stratégique;HTML / CSS, InVision, Sketch;Papier, Sketch;5 à 10;Seulement moi;Slack;Freelance;WordPress;Atom; ;Github
40 à 49;Balsamiq;France;Illustrator, Photoshop, Sketch, HTML / CSS;développeur web, intégrateur web, webdesigner, concepteur web;HTML / CSS, InVision;Papier;5 à 10;Seulement moi;Slack;Freelance;Bootstrap, WordPress;Visual Studio Code; ;Github
